Xaccel,Yaccel,Zaccel
-2432,-384,1920
-512,192,448
3328,896,704
832,192,1024
-1664,-320,1600
-1664,-320,1600
-3200,-384,1408
704,256,768
3328,768,1024
2368,768,1280
-3072,-768,2240
-3136,-512,1984
-512,-512,448
-512,64,448
3840,960,1024
512,192,832
-2240,-512,1856
-1600,-256,1088
1088,256,576
3328,768,1280
-1152,-128,1024
-3072,-768,2368
-2880,-512,2112
-2880,-512,2112
2112,512,768
3520,1024,640
512,256,768
-3264,-640,2688
-1856,-384,1408
576,256,512
3136,1024,576
-64,128,768
-64,128,768
-2752,-768,2048
-1152,-256,896
1856,512,640
3712,1024,1024
-2048,-384,1024
-3520,-768,3008
-1984,-512,1536
2816,704,1024
3136,1152,512
3136,1152,512
0,64,960
-3392,-512,3072
-1344,-256,768
1280,384,320
3712,832,384
-1728,-384,1728
-3392,-704,3264
-3392,-704,3264
-2176,-384,1408
2944,768,960
2816,1024,512
-256,64,896
-3328,-512,2752
-1280,-256,832
1536,448,640
1600,512,384
1600,512,384
-1536,-320,1472
-3136,-576,2560
320,192,448
2688,768,960
3264,1152,704
-2752,-640,2240
-2752,-640,2240
-3456,-640,2432
-1216,-256,704
3520,1024,640
1600,576,448
-1344,-256,1536
-2304,-384,1728
64,128,448
2048,640,1024
2048,640,1024
640,256,576
-1984,-384,1728
-3328,-576,2432
768,256,448
3072,1024,1024
2304,960,256
-3072,-832,2560
-2752,-512,2432
-320,-256,768
-320,-256,768
1984,768,896
768,256,960
-1856,-256,1792
-3200,-448,2688
192,256,512
2752,640,1472
3136,1088,960
-2560,-512,1920
-2560,-512,1920
-3264,-576,2688
-1344,-384,1280
3136,960,896
1984,576,512
-1152,-256,1600
-2688,-448,1984
-704,-64,448
1280,448,640
1280,448,640
1600,576,512
-1344,-256,1472
-3008,-448,2048
-192,192,384
1792,704,704
3072,1216,384
-2112,-768,2240
-3136,-768,3072
-3136,-768,3072
-1856,-384,1344
2240,768,832
2816,960,576
384,256,384
-3264,-448,2240
-1984,-192,1472
512,256,320
2688,832,704
-576,-64,1152
-576,-64,1152
-2816,-512,2304
-3136,-448,704
1728,448,1024
3264,1024,1024
1088,704,0
-2816,-448,2496
-2176,-320,1856
-256,192,704
-256,192,704
2560,1024,576
1024,576,448
-1536,-256,1664
-1856,-256,1536
256,384,384
2240,960,512
-64,128,704
-2304,-576,2240
-2304,-576,2240
-2944,-512,2816
704,512,320
2176,1024,704
2304,960,384
-2624,-640,2496
-2688,-512,2880
-1024,-128,1152
2688,1216,128
896,512,320
896,512,320
-1536,-320,1536
-1984,-448,1600
256,128,768
2176,960,1024
256,192,768
-1984,-384,1856
-3008,-512,2560
1728,384,768
1728,384,768
3328,1216,960
704,512,192
-2496,-320,2240
-1792,-256,1344
1024,448,448
3328,896,1280
-1408,-256,1408
-3584,-576,1984
-3584,-576,1984
-2752,-448,1600
3584,832,1536
2432,1024,512
-896,0,768
